1. 完成用户点击行为数据的获取

2. 完成组装用户点击行为的map封装

3. 完成用户与用户之间相似度的计算，激动...
以下为余弦相似度计算所得数据（前两项是用户id，最后一项是用户与用户之间的相似度）：

1	2	0.999489144283392
1	3	0.951009468591049
1	4	0.6101699194694563
2	3	0.9514955455298099
2	4	0.6104817875805268
3	4	0.6408097907695536

下列三项分别为用户id，二级类目id，二级类目对应的点击量：
ps：为了验证余弦相似度算法的准确性，以下数据均为手动录入，待后期系统完善后，
将放入真实生产环境中进行压力测试

1	1	10
1	2	20
1	3	30
1	4	40
1	5	50
1	6	60
1	7	70
1	8	80
1	9	90
1	10	80
1	11	70
1	12	60
1	13	50
1	14	40
1	15	30
1	16	20
1	17	10
1	18	20
1	19	30
1	20	40
1	21	50
1	22	60
1	23	70
1	24	80
1	25	90
1	26	80
1	27	70
1	28	60
1	29	50
1	30	40
1	31	30
1	32	20
1	33	10
1	34	10
1	35	10
2	1	10
2	2	20
2	3	30
2	4	40
2	5	50
2	6	60
2	7	70
2	8	80
2	9	90
2	10	80
2	11	70
2	12	60
2	13	50
2	14	40
2	15	30
2	16	20
2	17	10
2	18	20
2	19	30
2	20	40
2	21	50
2	22	60
2	23	70
2	24	80
2	25	90
2	26	80
2	27	70
2	28	60
2	29	50
2	30	40
2	31	30
2	32	20
2	33	10
2	34	10
2	35	0
3	1	10
3	2	20
3	3	10
3	4	40
3	5	50
3	6	60
3	7	10
3	8	80
3	9	90
3	10	80
3	11	70
3	12	60
3	13	10
3	14	40
3	15	30
3	16	20
3	17	10
3	18	10
3	19	30
3	20	0
3	21	10
3	22	60
3	23	70
3	24	80
3	25	90
3	26	80
3	27	70
3	28	60
3	29	50
3	30	40
3	31	10
3	32	20
3	33	10
3	34	10
3	35	0
4	1	0
4	2	0
4	3	10
4	4	0
4	5	50
4	6	0
4	7	10
4	8	80
4	9	0
4	10	87
4	11	0
4	12	0
4	13	0
4	14	40
4	15	10
4	16	0
4	17	0
4	18	0
4	19	30
4	20	0
4	21	0
4	22	60
4	23	0
4	24	80
4	25	20
4	26	0
4	27	0
4	28	0
4	29	50
4	30	0
4	31	0
4	32	20
4	33	10
4	34	10
4	35	0


